DATE,ATNHPIUS06037A
1975-01-01,18.37
1976-01-01,21.37
1977-01-01,25.71
1978-01-01,30.41
1979-01-01,35.74
1980-01-01,41.83
1981-01-01,45.46
1982-01-01,46.59
1983-01-01,47.59
1984-01-01,49.07
1985-01-01,51.85
1986-01-01,55.52
1987-01-01,61.36
1988-01-01,74.32
1989-01-01,92.52
1990-01-01,97.14
1991-01-01,95.45
1992-01-01,93.55
1993-01-01,86.80
1994-01-01,81.77
1995-01-01,78.17
1996-01-01,77.57
1997-01-01,78.77
1998-01-01,86.39
1999-01-01,91.67
2000-01-01,100.00
2001-01-01,109.45
2002-01-01,123.04
2003-01-01,137.47
2004-01-01,169.11
2005-01-01,212.27
2006-01-01,246.11
2007-01-01,245.82
2008-01-01,203.38
2009-01-01,172.09
2010-01-01,170.76
2011-01-01,162.88
2012-01-01,161.20
2013-01-01,176.82
2014-01-01,201.05
2015-01-01,211.93
2016-01-01,228.08
2017-01-01,246.56
